,lemma,word_form,word_number,n_tokens,tokenization_type,verb_probs,article_number,verb_number,verb,affix,sentence,model_token_inputs,source,surprisal
0,patrono,patrono,sing,2,default,0.09101855754852295,singular,singular,es,s,El patrono [MASK],"[CLS] , El , patr , ##ono , [MASK] , [SEP]",non_morphemic,2.3966918641513524
1,patrono,patrono,sing,2,default,0.0018395003862679005,plural,plural,son,s,El patrono [MASK],"[CLS] , El , patr , ##ono , [MASK] , [SEP]",non_morphemic,6.298261273434199
2,patrono,patronos,plur,2,default,6.253070023376495e-05,singular,singular,es,s,Los patronos [MASK],"[CLS] , Los , patr , ##onos , [MASK] , [SEP]",non_morphemic,9.679852918082744
3,patrono,patronos,plur,2,default,0.040043797343969345,plural,plural,son,s,Los patronos [MASK],"[CLS] , Los , patr , ##onos , [MASK] , [SEP]",non_morphemic,3.217781490271555
4,patrono,patrono##s,plur,3,artificial,9.201065404340625e-05,singular,singular,es,s,Los patrono##s [MASK],"[CLS] , Los , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,9.293606182800461
5,patrono,patrono##s,plur,3,artificial,0.01397785171866417,plural,plural,son,s,Los patrono##s [MASK],"[CLS] , Los , patr , ##ono , ##s , [MASK] , [SEP]",non_morphemic,4.270281222177474
6,premisa,premisa,sing,2,default,0.11878324300050735,singular,singular,es,s,La premisa [MASK],"[CLS] , La , premis , ##a , [MASK] , [SEP]",non_morphemic,2.1304549341866688
7,premisa,premisa,sing,2,default,0.00034444555058144033,plural,plural,son,s,La premisa [MASK],"[CLS] , La , premis , ##a , [MASK] , [SEP]",non_morphemic,7.97357453346694
8,premisa,premisas,plur,2,default,0.0012761467369273305,singular,singular,es,s,Las premisas [MASK],"[CLS] , Las , premis , ##as , [MASK] , [SEP]",non_morphemic,6.663910103079303
9,premisa,premisas,plur,2,default,0.05516141280531883,plural,plural,son,s,Las premisas [MASK],"[CLS] , Las , premis , ##as , [MASK] , [SEP]",non_morphemic,2.8974916135257427
10,premisa,premisa##s,plur,3,artificial,0.0017180410213768482,singular,singular,es,s,Las premisa##s [MASK],"[CLS] , Las , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,6.36657057830301
11,premisa,premisa##s,plur,3,artificial,0.09333449602127075,plural,plural,son,s,Las premisa##s [MASK],"[CLS] , Las , premis , ##a , ##s , [MASK] , [SEP]",non_morphemic,2.3715655071878317
12,kilo,kilo,sing,2,default,0.1041424572467804,singular,singular,es,s,El kilo [MASK],"[CLS] , El , k , ##ilo , [MASK] , [SEP]",non_morphemic,2.261995535916188
13,kilo,kilo,sing,2,default,0.0012378573883324862,plural,plural,son,s,El kilo [MASK],"[CLS] , El , k , ##ilo , [MASK] , [SEP]",non_morphemic,6.694373306563218
14,kilo,kilos,plur,2,default,0.0005849035806022584,singular,singular,es,s,Los kilos [MASK],"[CLS] , Los , k , ##ilos , [MASK] , [SEP]",non_morphemic,7.4440635437999605
15,kilo,kilos,plur,2,default,0.03441528603434563,plural,plural,son,s,Los kilos [MASK],"[CLS] , Los , k , ##ilos , [MASK] , [SEP]",non_morphemic,3.3692544518385663
16,kilo,kilo##s,plur,3,artificial,0.0004953345051035285,singular,singular,es,s,Los kilo##s [MASK],"[CLS] , Los , k , ##ilo , ##s , [MASK] , [SEP]",non_morphemic,7.610277255737972
17,kilo,kilo##s,plur,3,artificial,0.04003913328051567,plural,plural,son,s,Los kilo##s [MASK],"[CLS] , Los , k , ##ilo , ##s , [MASK] , [SEP]",non_morphemic,3.2178979711101703
18,bebedor,bebedor,sing,2,default,0.0033942987211048603,singular,singular,es,es,El bebedor [MASK],"[CLS] , El , bebe , ##dor , [MASK] , [SEP]",non_morphemic,5.685658101575011
19,bebedor,bebedor,sing,2,default,0.00011196571722393855,plural,plural,son,es,El bebedor [MASK],"[CLS] , El , bebe , ##dor , [MASK] , [SEP]",non_morphemic,9.097317829741023
20,bebedor,bebedores,plur,2,default,0.00016373243124689907,singular,singular,es,es,Los bebedores [MASK],"[CLS] , Los , bebe , ##dores , [MASK] , [SEP]",non_morphemic,8.71727697930018
21,bebedor,bebedores,plur,2,default,0.025875085964798927,plural,plural,son,es,Los bebedores [MASK],"[CLS] , Los , bebe , ##dores , [MASK] , [SEP]",non_morphemic,3.654474705091053
22,bebedor,bebedor##es,plur,3,artificial,0.00010766234481707215,singular,singular,es,es,Los bebedor##es [MASK],"[CLS] , Los , bebe , ##dor , ##es , [MASK] , [SEP]",non_morphemic,9.136510665233304
23,bebedor,bebedor##es,plur,3,artificial,0.021032018586993217,plural,plural,son,es,Los bebedor##es [MASK],"[CLS] , Los , bebe , ##dor , ##es , [MASK] , [SEP]",non_morphemic,3.8617093078066964
24,rumano,rumano,sing,2,default,0.016520487144589424,singular,singular,es,s,El rumano [MASK],"[CLS] , El , rum , ##ano , [MASK] , [SEP]",non_morphemic,4.1031540231528
25,rumano,rumano,sing,2,default,0.00020130016491748393,plural,plural,son,s,El rumano [MASK],"[CLS] , El , rum , ##ano , [MASK] , [SEP]",non_morphemic,8.510713406056649
26,rumano,rumanos,plur,2,default,0.00017064341227523983,singular,singular,es,s,Los rumanos [MASK],"[CLS] , Los , rum , ##anos , [MASK] , [SEP]",non_morphemic,8.675934487076361
27,rumano,rumanos,plur,2,default,0.05550652742385864,plural,plural,son,s,Los rumanos [MASK],"[CLS] , Los , rum , ##anos , [MASK] , [SEP]",non_morphemic,2.8912546539047117
28,rumano,rumano##s,plur,3,artificial,0.00012381747364997864,singular,singular,es,s,Los rumano##s [MASK],"[CLS] , Los , rum , ##ano , ##s , [MASK] , [SEP]",non_morphemic,8.996702063489685
29,rumano,rumano##s,plur,3,artificial,0.037074409425258636,plural,plural,son,s,Los rumano##s [MASK],"[CLS] , Los , rum , ##ano , ##s , [MASK] , [SEP]",non_morphemic,3.2948283202756086
30,mandatario,mandatario,sing,2,default,0.02206072211265564,singular,singular,es,s,El mandatario [MASK],"[CLS] , El , manda , ##tario , [MASK] , [SEP]",non_morphemic,3.8139565316646196
31,mandatario,mandatario,sing,2,default,0.0011757798492908478,plural,plural,son,s,El mandatario [MASK],"[CLS] , El , manda , ##tario , [MASK] , [SEP]",non_morphemic,6.745823650014341
32,mandatario,mandatarios,plur,2,default,9.017477714223787e-05,singular,singular,es,s,Los mandatarios [MASK],"[CLS] , Los , manda , ##tarios , [MASK] , [SEP]",non_morphemic,9.313760802569599
33,mandatario,mandatarios,plur,2,default,0.02975834347307682,plural,plural,son,s,Los mandatarios [MASK],"[CLS] , Los , manda , ##tarios , [MASK] , [SEP]",non_morphemic,3.514645733433523
34,mandatario,mandatario##s,plur,3,artificial,0.00016657747619319707,singular,singular,es,s,Los mandatario##s [MASK],"[CLS] , Los , manda , ##tario , ##s , [MASK] , [SEP]",non_morphemic,8.700050034291044
